Year,Month,Location,Young Adult DVDs,Juvenile DVDs,Digital Movies,DVDs,Rated R DVDs
2017,January,B.F. Black,2,0,0,184,90
2017,January,B.F. Black,2,0,0,184,90
2017,January,Blyden,0,8,0,281,141
2017,January,Blyden,0,8,0,281,141
2017,January,Bookmobile,0,0,0,99,87
2017,January,Bookmobile,0,0,0,99,87
2017,January,BRO,0,0,0,0,0
2017,January,BRO,0,0,0,0,0
2017,January,H.C. Downing,0,0,0,11,0
2017,January,H.C. Downing,0,0,0,11,0
2017,January,Janaf,0,0,0,417,216
2017,January,Janaf,0,0,0,417,216
2017,January,Jordan-Newby,2,0,0,272,144
2017,January,Jordan-Newby,2,0,0,272,144
2017,January,Lafayette,0,7,0,543,193
2017,January,Lafayette,0,7,0,543,193
2017,January,Larchmont,1,12,0,916,258
2017,January,Larchmont,1,12,0,916,258
2017,January,Little Creek,0,4,0,750,293
2017,January,Little Creek,0,4,0,750,293
2017,January,Main-Slover,0,0,0,2068,731
2017,January,Main-Slover,0,0,0,2068,731
2017,January,ONLINE,0,0,604,0,0
2017,January,ONLINE,0,0,604,0,0
2017,January,Park Place,0,8,0,256,248
2017,January,Park Place,0,8,0,256,248
2017,January,Pretlow,3,0,0,2651,1347
2017,January,Pretlow,3,0,0,2651,1347
2017,January,Storage,0,0,0,117,24
2017,January,Storage,0,0,0,117,24
2017,January,Van Wyck,4,4,0,835,453
2017,January,Van Wyck,4,4,0,835,453
2017,February,B.F. Black,1,0,0,174,67
2017,February,B.F. Black,1,0,0,174,67
2017,February,Blyden,0,2,0,189,107
2017,February,Blyden,0,2,0,189,107
2017,February,Bookmobile,0,0,0,64,39
2017,February,Bookmobile,0,0,0,64,39
2017,February,BRO,0,0,0,0,0
2017,February,BRO,0,0,0,0,0
2017,February,H.C. Downing,0,0,0,4,5
2017,February,H.C. Downing,0,0,0,4,5
2017,February,Janaf,0,0,0,256,112
2017,February,Janaf,0,0,0,256,112
2017,February,Jordan-Newby,3,0,0,221,100
2017,February,Jordan-Newby,3,0,0,221,100
2017,February,Lafayette,0,3,0,498,194
2017,February,Lafayette,0,3,0,498,194
2017,February,Larchmont,0,13,0,703,176
