Month,Month Number,Month Name,Year,Branch Name,Branch,Material Category,Material Type,Materials,Checkouts,Renewals,Transactions
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Audio CD,Physical,Audio CD,24,72,96
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Audio CD,Physical,Audio Kit,47,21,68
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Audio CD,Physical,Playaway,11,29,40
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Blu-ray,Physical,Blu-ray,94,42,136
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Book,Physical,Board Book,271,217,488
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Book,Physical,Book,4108,5064,9172
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Book,Physical,Bookclub kit,2,3,5
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Book,Physical,Express Check Out,0,2,2
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,DVD,Physical,DVD,522,435,957
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,InterLibrary Loan,Physical,ILL,6,0,6
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Magazine,Physical,Periodical,24,8,32
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Stuffbrary,Physical,Culture Pass,173,0,173
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Stuffbrary,Physical,Equipment,2,0,2
03/01/2022 12:00:00 AM,3,Mar,2022,Dobson Ranch Branch,DR,Stuffbrary,Physical,Stuffbrary,1,0,1
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Audio CD,Physical,Audio CD,293,218,511
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Audio CD,Physical,Audio Kit,104,51,155
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Audio CD,Physical,Playaway,87,72,159
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Blu-ray,Physical,Blu-ray,345,297,642
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Book,Physical,Board Book,1359,1211,2570
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Book,Physical,Book,18616,17894,36510
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Book,Physical,Book Bucket,3,0,3
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Book,Physical,Bookclub kit,7,1,8
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Book,Physical,Braille,0,1,1
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,DVD,Physical,DVD,3409,3573,6982
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,InterLibrary Loan,Physical,ILL,56,1,57
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Magazine,Physical,Periodical,100,79,179
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Stuffbrary,Physical,Culture Pass,452,4,456
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Stuffbrary,Physical,Equipment,7,2,9
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Stuffbrary,Physical,Stuffbrary,19,0,19
03/01/2022 12:00:00 AM,3,Mar,2022,Main Library,MN,Stuffbrary,Physical,Stuffbrary (Quick-circ),239,0,239
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,,Physical,TakeMake (Quick-circ),32,0,32
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Audio CD,Physical,Audio CD,745,690,1435
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Audio CD,Physical,Audio Kit,109,70,179
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Audio CD,Physical,Playaway,229,183,412
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Blu-ray,Physical,Blu-ray,283,344,627
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Book,Physical,Board Book,899,746,1645
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Book,Physical,Book,29103,25150,54253
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Book,Physical,Bookclub kit,14,1,15
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,DVD,Physical,DVD,4402,3716,8118
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,InterLibrary Loan,Physical,ILL,47,0,47
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Magazine,Physical,Periodical,120,146,266
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Stuffbrary,Physical,Culture Pass,168,2,170
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Stuffbrary,Physical,Equipment,2,2,4
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Stuffbrary,Physical,Stuffbrary,10,0,10
03/01/2022 12:00:00 AM,3,Mar,2022,Red Mountain Branch,RM,Stuffbrary,Physical,Stuffbrary (Quick-circ),177,0,177
03/01/2022 12:00:00 AM,3,Mar,2022,N/A,N/A,Electronic,Electronic,Electronic,64376,0,64376
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,Book,Physical,Book,34272,26041,60313
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,Book,Physical,Bookclub kit,21,0,21
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,Book,Physical,Express Check Out,213,4,217
01/01/2018 12:00:00 AM,1,Jan,2018,Red Mountain Branch,RM,DVD,Physical,DVD,11766,7484,19250
